datetime,worker,id,gpu,hashrate,accepted_shares,temperature,fan,power,core_clock,mem_clock
2021-05-11 17:33:00,Gabri_PC,0,GeForce GTX 1660 SUPER,26.73,361,64,35,80,1470,6801
2021-05-11 17:34:00,Gabri_PC,0,GeForce GTX 1660 SUPER,26.73,361,64,36,80,1470,6801
2021-05-11 17:35:00,Gabri_PC,0,GeForce GTX 1660 SUPER,26.73,361,64,35,80,1485,6801
2021-05-11 17:36:00,Gabri_PC,0,GeForce GTX 1660 SUPER,26.73,362,64,36,80,1470,6801
2021-05-11 17:37:00,Gabri_PC,0,GeForce GTX 1660 SUPER,26.73,363,64,36,80,1470,6801
2021-05-11 17:38:00,Gabri_PC,0,GeForce GTX 1660 SUPER,26.73,363,64,36,80,1470,6801
2021-05-11 17:39:00,Gabri_PC,0,GeForce GTX 1660 SUPER,26.73,364,64,36,80,1470,6801
2021-05-11 17:40:00,Gabri_PC,0,GeForce GTX 1660 SUPER,26.74,364,64,36,80,1485,6801
2021-05-11 17:41:00,Gabri_PC,0,GeForce GTX 1660 SUPER,26.73,365,64,36,80,1470,6801
2021-05-11 17:42:00,Gabri_PC,0,GeForce GTX 1660 SUPER,26.74,365,64,36,80,1470,6801
2021-05-11 17:43:00,Gabri_PC,0,GeForce GTX 1660 SUPER,26.73,367,64,36,80,1485,6801
2021-05-11 17:44:00,Gabri_PC,0,GeForce GTX 1660 SUPER,26.74,367,64,36,80,1470,6801
2021-05-11 17:45:00,Gabri_PC,0,GeForce GTX 1660 SUPER,26.59,368,64,36,80,1455,6801
2021-05-11 17:46:00,Gabri_PC,0,GeForce GTX 1660 SUPER,26.59,368,64,36,80,1455,6801
2021-05-11 17:47:00,Gabri_PC,0,GeForce GTX 1660 SUPER,26.59,370,64,35,80,1470,6801
2021-05-11 17:48:00,Gabri_PC,0,GeForce GTX 1660 SUPER,26.59,371,64,36,80,1455,6801
2021-05-11 17:49:00,Gabri_PC,0,GeForce GTX 1660 SUPER,26.59,372,64,36,80,1470,6801
