datetime,worker,id,gpu,hashrate,accepted_shares,temperature,fan,power,core_clock,mem_clock
2021-05-11 17:33:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,198,61,70,130,1569,4665
2021-05-11 17:34:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,198,58,70,61,1569,4665
2021-05-11 17:35:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,198,61,70,130,1569,4665
2021-05-11 17:36:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,199,61,70,130,1569,4665
2021-05-11 17:37:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,199,61,70,130,1569,4665
2021-05-11 17:38:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,199,61,70,130,1569,4665
2021-05-11 17:39:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,199,61,70,130,1569,4665
2021-05-11 17:40:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,200,61,70,130,1569,4665
2021-05-11 17:41:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,200,61,70,130,1569,4665
2021-05-11 17:42:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,200,61,70,130,1569,4665
2021-05-11 17:43:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,201,61,70,130,1569,4665
2021-05-11 17:44:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,201,61,70,130,1569,4665
2021-05-11 17:45:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,201,61,70,130,1569,4665
2021-05-11 17:46:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,201,61,70,130,1569,4665
2021-05-11 17:47:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,202,61,70,130,1569,4665
2021-05-11 17:48:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,202,61,70,130,1569,4665
2021-05-11 17:49:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,202,61,70,130,1569,4665
2021-05-11 17:50:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,202,61,70,130,1569,4665
2021-05-11 17:51:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,202,61,70,130,1569,4665
2021-05-11 17:52:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,202,61,70,130,1569,4665
2021-05-11 17:53:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,202,61,70,130,1569,4665
2021-05-11 17:54:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,203,61,70,130,1569,4665
2021-05-11 17:55:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,204,61,70,130,1569,4665
2021-05-11 17:56:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.22,204,61,70,130,1569,4665
2021-05-11 17:57:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,204,61,70,130,1569,4665
2021-05-11 17:58:00,Ste_PC,0,NVIDIA GeForce GTX 1080,22.21,205,61,70,130,1569,4665
